Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%
Caris LeVert,24,14,14,29.7,6.9,14.6,0.475,1.4,4.4,0.311
Joe Harris,27,40,40,29.4,4.9,9.6,0.506,2.4,5.0,0.483
D'Angelo Russell,22,43,43,29.3,7.2,16.8,0.429,2.4,6.7,0.35600000000000004
Spencer Dinwiddie,25,44,4,28.5,5.5,12.0,0.455,1.9,5.3,0.364
Jarrett Allen,20,42,42,26.5,4.4,7.5,0.584,0.1,0.6,0.16
Allen Crabbe,26,28,15,26.1,3.0,8.9,0.34299999999999997,2.3,6.0,0.387
DeMarre Carroll,32,32,0,24.0,3.3,8.2,0.397,1.6,4.6,0.35600000000000004
Rondae Hollis-Jefferson,24,34,19,24.0,3.6,8.9,0.405,0.2,1.0,0.242
Jared Dudley,33,43,25,22.0,1.8,4.4,0.405,0.9,2.8,0.322
Rodions Kurucs,20,27,15,20.0,3.3,6.9,0.48100000000000004,0.9,2.7,0.34700000000000003
